Kingdom,Phylum,Class,AlgalGroup,Genus,Species,Taxon,CurrentTaxon,Authority,AuthoritySource,SynonymAuthority,SynonymAuthoritySource,TaxonomicClassificationSource,GrowthHabit,HabitatType,SalinityRange
Chromista,Bacillariophyta,Bacillariophyceae,Pennate Diatoms,Fragilariaforma,marylandica,Fragilariaforma marylandica,None,,,,,,,,
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Raphidiopsis,raciborskii,Raphidiopsis raciborskii,None,,,,,,,,
Chlorophyta,Chlorophyceae,Chlorophyceae,Green Algae,Sphaerellopsis,sp.,Sphaerellopsis sp.,Vitreochlamys fluviatilis,,,,,,,,
Chlorophyta,Chlorophyceae,Chlorophyceae,Green Algae,Vitreochlamys,fluviatilis,Vitreochlamys fluviatilis,None,,,,,,,,
Chlorophyta,Chlorophyceae,Chlorophyceae,Green Algae,Micromonas,pusilla,Micromonas pusilla,Micrinomonas pusilla,,,,,,,,
Chlorophyta,Chlorophyceae,Chlorophyceae,Green Algae,Micrinomonas,pusilla,Micrinomonas pusilla,None,,,,,,,,
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Eucapsis,starmachii,Eucapsis starmachii,None,,,,,,,,
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Eucapsis,densa,Eucapsis densa,None,,,,,,,,
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Agmenellum,elegans,Agmenellum elegans,None,Br�bisson,www.itis.gov,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Agmenellum,sp.,Agmenellum sp.,Merismopedia sp.,Br�bisson,www.algaebase.org,F.J.F. Meyen,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Agmenellum,tenuissima,Agmenellum tenuissima,None,Unknown,Unknown,Unknown,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anabaena,aequalis,Anabaena aequalis,None,O. Borge,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anabaena,affinis,Anabaena affinis,Dolichospermum affine,Lemmerman,www.algaebase.org,"(Lemmermann) P. Wacklin, L. Hoffmann and J. Kom�rek",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic,freshwater
