Kingdom,Phylum,Class,AlgalGroup,Genus,Species,Taxon,CurrentTaxon,Authority,AuthoritySource,SynonymAuthority,SynonymAuthoritySource,TaxonomicClassificationSource,GrowthHabit,HabitatType,SalinityRange
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Dolichospermum,flos-aquae,Dolichospermum flos-aquae,Dolichospermum flosaquae,,,,,,,,
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anabaena,circinalis,Anabaena circinalis,Dolichospermum circinale,Rabenhorst,www.algaebase.org,"(Rabenhorst ex Bornet & Flahault) P. Wacklin, L. Hoffmann and J. Kom�rek",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anabaena,flosaquae,Anabaena flos-aquae,Dolichospermum flosaquae,Br�bisson ex Bornet and Flauhault,www.algaebase.org,"(Bornet and Flahault) P. Wacklin, L. Hoffmann and Kom�rek",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Dolichospermum,flosaquae,Dolichospermum flosaquae,None,,,,,,,,
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anabaena,lemmermannii,Anabaena lemmermannii,Dolichospermum lemmermannii,P.G. Richter,www.algaebase.org,"(Richter) P. Wacklin, L. Hoffmann, and J. Kom�rek",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Dolichospermum,lemmermannii,Dolichospermum lemmermannii,None,,,,,,,,
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anabaena,planctonica,Anabaena planctonica,Dolichospermum planctonicum,Brunnthaler,www.algaebase.org,"(Brunnthaler) Wacklin, L. Hoffman and Kom�rek",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Dolichospermum,planctonica,Dolichospermum planctonicum,None,,,,,,,,
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anabaena,sp.,Anabaena sp.,None,Bory ex Bornet et Flahault,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anabaena,spiroides,Anabaena spiroides,Dolichospermum spiroides,Klebahn,www.algaebase.org,"(Klebhan) Wacklin, L. Hoffm. and Kom�rek",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anabaena,variabilis,Anabaena variabilis,Trichormus variabilis,K�tzing ex Bornet and Flahault,www.algaebase.org,(K�tzing ex Bornet and Flahault) Kom�rek and Anagnostidis,www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anabaenopsis,elenkinii,Anabaenopsis elenkinii,None,V.V. Miller,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anabaenopsis,sp.,Anabaenopsis sp.,None,(Woloszynska) M�ller,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anacystis,cyanea,Anacystis cyanea,Microcystis aeruginosa,(K�tzing) F.E. Drouet and W.A. Daily,www.algaebase.org,(K�tzing) K�tzing,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anacystis,incerta,Anacystis incerta,Aphanocapsa incerta,(Lemmermann) Drouet and Daily,www.algaebase.org,(Lemmermann) Cronberg and Kom�rek,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anacystis,limnetica,Anacystis limnetica,Limnococcus limneticus,(Lemmermann) Drouet and Daily,www.algaebase.org,"(Lemmermann) Kom�rkov�, Jezberov�, O. Kom�rek and Zapomĕlov�",www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anacystis,nidulans,Anacystis nidulans,Aphanothece nidulans,Gardner,www.algaebase.org,P. Richter,www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anacystis,sp.,Anacystis sp.,None,Meneghini,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanizomenon,flos-aquae,Aphanizomenon flos-aquae,None,Ralfs ex Bornet and Flahaut,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanizomenon,klebahnii,Aphanizomenon klebahnii,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanizomenon,sp.,Aphanizomenon sp.,None,Morren ex Bornet et Flahault,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanizomenon,yezoense,Aphanizomenon yezoense,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanocapsa,delicatissima,Aphanocapsa delicatissima,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanocapsa,holsatica,Aphanocapsa holsatica,None,(Lemmermann) G. Cronberg and Kom�rek,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanocapsa,incerta,Aphanocapsa incerta,None,(Lemmermann) G. Cronberg and Kom�rek,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanocapsa,marina,Aphanocapsa marina,None,Hansgirg,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanocapsa,sp.,Aphanocapsa sp.,None,N�geli,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanothece,endophytica,Aphanothece endophytica,Anathece endophytica,(West and G.S. West) J. Kom�rkov�-Legnerov� and G. Cronberg,www.algaebase.org,"(W. and G.S. West) Kom�rek, Kastovsky and Jezberov�",www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanothece,minutissima,Aphanothece minutissima,Anathece minutissima,(West) J. Kom�rkov�-Legnerov� and G. Cronberg,www.algaebase.org,"(West) Kom�rek, Kaštovský and Jezberov�",www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanothece,smithii,Aphanothece smithii,Anathece smithii,Kom�rkov�-Legnerov� and G. Cronberg,www.algaebase.org,"(Kom�rkov�-Legnerov� and G. Cronberg) Kom�rek, Kaštovský and Jezberov�",www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanothece,sp.,Aphanothece sp.,None,N�geli,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Calothrix,braunii,Calothrix braunii,None,Bornet and Flahault,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,dispersus,Chroococcus dispersus,None,(Keissler) Lemmermann,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,distans,Chroococcus distans,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,limneticus,Chroococcus limneticus,Limnococcus limneticus,Lemmermann,www.algaebase.org,"(Lemmermann) Kom�rkov�, Jezberov�, O. Kom�rek, and Zapomĕlov�",www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,microscopicus,Chroococcus microscopicus,Eucapsis microscopica,J. Kom�rkova-Legnerov� and G. Cronberg,www.algaebase.org,(Kom�rkov�-Legenerov� and G. Cronberg) Kom�rek and Hind�k,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,minimus,Chroococcus minimus,None,(Keissler) Lemmermann,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,minutus,Chroococcus minutus,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,planctonicus,Chroococcus planctonicus,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,sp.,Chroococcus sp.,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Coccochloris,sp.,Coccochloris sp.,Aphanothece sp.,Sprengel,www.algaebase.org,C. N�geli,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Coelomoron,sp.,Coelomoron sp.,None,H.F. Buell,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Coelosphaerium,kuetzingianum,Coelosphaerium kuetzingianum,None,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Coelosphaerium,sp.,Coelosphaerium sp.,None,N�geli,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Cuspidothrix,issatschenkoi,Cuspidothrix issatschenkoi,None,"(Usachev) P. Rajaniemi, Kom�rek, R. Willame, P. Hrouzek, K. Kastovsk�, L. Hoffman and K. Sivonen",www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Cuspidothrix,sp.,Cuspidothrix sp.,None,Rajaniemi et. al.,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Cyanarcus,hamiformis,Cyanarcus hamiformis,None,Pascher,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Cyanobium,sp.,Cyanobium sp.,None,R. Rippka and G. Cohen-Bazire,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Cyanodictyon,sp.,Cyanodictyon sp.,None,Pascher,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Cyanophanon,sp.,Cyanophanon sp.,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Cylindrospermopsis,acuminatocrispa,Cylindrospermopsis acuminatocrispa,Raphidiopsis acuminatocrispa,Cout� and M. Bouvy,www.algaebase.org,"(Couvy and Bouvy) Aguilera, Berrendero Gómez, Kastovsky, Echeniqe and Salerno",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Cylindrospermopsis,raciborskii,Cylindrospermopsis raciborskii,Raphidiopsis raciborskii,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Cylindrospermopsis,sp.,Cylindrospermopsis sp.,Raphidiopsis sp.,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Cylindrospermum,sp.,Cylindrospermum sp.,None,K�tzing ex Bornet et. Flahault,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Dactylococcopsis,acicularis,Dactylococcopsis acicularis,None,Lemmermann,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Dactylococcopsis,sp.,Dactylococcopsis sp.,None,Hansgirg,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Dolichospermum,circinale,Dolichospermum circinale,None,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Dolichospermum,planctonicum,Dolichospermum planctonicum,None,"(Brunnthaler) Wacklin, L. Hoffman and Kom�rek",www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Dolichospermum,smithii,Dolichospermum smithii,None,"(Kom�rek) Wacklin, L. Hoffman and Kom�rek",www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Dolichospermum,sp.,Dolichospermum sp.,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,filamentous,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Eucapsis,microscopica,Eucapsis microscopica,None,(Kom�rkov�-Legnerov� and G. Cronberg) Kom�rek and Hind�k,www.algaebase.org,Kom�rkov�-Legnerov� and G. Cronberg,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Eucapsis,sp.,Eucapsis sp.,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Geitlerinema,amphibium,Geitlerinema amphibium,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,filamentous,benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Geitlerinema,lemmermannii,Geitlerinema lemmermannii,Anagnostidinema lemmermannii,(Woloszynska) Anagnostidis,www.algaebase.org,"(Woloszynska) Strunecky, Bohunick�, J.R. Johansen, Capkov�, Raabov�, P.V. Dvor�k, and Kom�rek",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Geitlerinema,sp.,Geitlerinema sp.,None,(Anagnostidis et Kom�rek) Anagnostidis,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Geitlerinema,splendidum,Geitlerinema splendidum,None,(Greville ex Gomont) Anagnostidis,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Glaucospira,sp.,Glaucospira sp.,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Gloeocapsa,sp.,Gloeocapsa sp.,None,K�tzing,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Gloeothece,linearis,Gloeothece linearis,Gloeobacter violaceus,N�geli,www.algaebase.org,"Rippka, J.B. Waterbury and Cohen-Bazire",www.algaebase.org,Cavalier-Smith 1998,colonial,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Gloeothece,sp.,Gloeothece sp.,None,N�geli,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,colonial,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Gloeotrichia,echinulata,Gloeotrichia echinulata,None,(Smith) P. Richter,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic or benthic,freshwater to brackish
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Gomphosphaeria,aponina,Gomphosphaeria aponina,None,K�tzing,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Gomphosphaeria,pallidum,Gomphosphaeria pallidum,None,Unknown,N/A,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Gomphosphaeria,sp.,Gomphosphaeria sp.,None,K�tzing,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Hapalosiphon,hibernicus,Hapalosiphon hibernicus,None,W. West and G.S. West,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Heteroleibleinia,sp.,Heteroleibleinia sp.,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,filamentous,benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Homoeothrix,janthina,Homoeothrix janthina,Tapinothrix janthina,(Bornet and Flahault) Starmach,www.algaebase.org,(Bornet and Flahault) Bohunick� and J.R. Johansen,www.algaebase.org,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Jaaginema,sp.,Jaaginema sp.,None,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Komvophoron,sp.,Komvophoron sp.,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Leptolyngbya,foveolara,Leptolyngbya foveolara,None,(Gomont) Anagnostidis and Kom�rek,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Leptolyngbya,foveolarum,Leptolyngbya foveolarum,None,(Gomont) Anagnostidis and Kom�rek,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Leptolyngbya,sp.,Leptolyngbya sp.,None,Anagnostidis et Kom�rek,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Limnothrix,redekei,Limnothrix redekei,None,(van Goor) M.E. Meffert,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Limnothrix,sp.,Limnothrix sp.,None,Meffert,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Lyngbya,aestuarii,Lyngbya aestuarii,None,Liebman ex Gomont,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Lyngbya,lutea,Lyngbya lutea,None,Gomont,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Lyngbya,sp.,Lyngbya sp.,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,filamentous,benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Marssoniella,elegans,Marssoniella elegans,None,Lemmerman,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Marssoniella,sp.,Marssoniella sp.,None,Lemmerman,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Merismopedia,glauca,Merismopedia glauca,None,(Ehrenberg) K�tzing,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Merismopedia,sp.,Merismopedia sp.,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Merismopedia,tenuissima,Merismopedia tenuissima,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Merismopedia,warmigiana,Merismopedia warmigiana,None,Forti,www.algaebase.org,Lagerheim,www.algaebase.org,Cavalier-Smith 1998,,,freshwatermarinebrackish
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Merismopedia,warmingiana,Merismopedia warmingiana,None,(Lagerheim) Forti,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Microcoleus,sp.,Microcoleus sp.,None,Desmazi�res ex Gomont,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Microcoleus,vaginatus,Microcoleus vaginatus,None,Gomont,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Microcystis,aeruginosa,Microcystis aeruginosa,None,(K�tzing) K�tzing,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Microcystis,flosaquae,Microcystis flosaquae,None,(Wittrock) Kirchner,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Microcystis,sp.,Microcystis sp.,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Myxobaktron,sp.,Myxobaktron sp.,None,W. Schmidle,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Nodularia,sp.,Nodularia sp.,None,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Nostoc,sp.,Nostoc sp.,None,Vaucher ex Bornet et Flahault,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
